Timestamp,vehicles/10min,kWh/10min
1/2/2022 6:50,3,0
1/2/2022 7:00,5,0
1/2/2022 7:10,6,0
1/2/2022 7:20,5,0
1/2/2022 7:30,1,0
1/2/2022 7:40,0,0
1/2/2022 7:50,5,0
1/2/2022 8:00,2,0
1/2/2022 8:10,4,0
1/2/2022 8:20,5,0
1/2/2022 8:30,11,0
1/2/2022 8:40,7,0
1/2/2022 8:50,9,0
1/2/2022 9:00,7,0
1/2/2022 9:10,4,0
1/2/2022 9:20,12,0
1/2/2022 9:30,16,0
1/2/2022 9:40,11,0
1/2/2022 9:50,15,0
1/2/2022 10:00,19,0
1/2/2022 10:10,15,0
1/2/2022 10:20,14,0
1/2/2022 10:30,14,0
1/2/2022 10:40,25,0
1/2/2022 10:50,25,0
1/2/2022 11:00,30,0
1/2/2022 11:10,17,0
1/2/2022 11:20,33,0
1/2/2022 11:30,30,0
1/2/2022 11:40,24,0
1/2/2022 11:50,40,0
1/2/2022 12:00,39,0
1/2/2022 12:10,39,0
1/2/2022 12:20,39,0
1/2/2022 12:30,51,0
1/2/2022 12:40,32,0
1/2/2022 12:50,33,0
1/2/2022 13:00,23,0
1/2/2022 13:10,54,0
1/2/2022 13:20,54,0
1/2/2022 13:30,38,0
1/2/2022 13:40,55,0
1/2/2022 13:50,52,0
1/2/2022 14:00,43,0
1/2/2022 14:10,59,0
1/2/2022 14:20,51,0
1/2/2022 14:30,36,0
1/2/2022 14:40,52,0
1/2/2022 14:50,44,0
1/2/2022 15:00,37,0
1/2/2022 15:10,45,0
1/2/2022 15:20,28,0
1/2/2022 15:30,59,0
1/2/2022 15:40,48,0
1/2/2022 15:50,50,0
1/2/2022 16:00,43,0
1/2/2022 16:10,43,0
1/2/2022 16:20,30,0
1/2/2022 16:30,35,0
1/2/2022 16:40,42,0
1/2/2022 16:50,33,0
1/2/2022 17:00,31,0
1/2/2022 17:10,36,0
1/2/2022 17:20,30,0
1/2/2022 17:30,35,0
1/2/2022 17:40,40,0
1/2/2022 17:50,32,0
1/2/2022 18:00,31,0
1/2/2022 18:10,35,0
1/2/2022 18:20,32,0
1/2/2022 18:30,29,0
1/2/2022 18:40,24,0
1/2/2022 18:50,26,0
1/2/2022 19:00,29,0
1/2/2022 19:10,18,0
1/2/2022 19:20,18,0
1/2/2022 19:30,19,0
1/2/2022 19:40,18,0
1/2/2022 19:50,18,0
1/2/2022 20:00,15,0
1/2/2022 20:10,14,0
1/2/2022 20:20,27,0
1/2/2022 20:30,24,0
1/2/2022 20:40,12,0
1/2/2022 20:50,18,0
1/2/2022 21:00,19,0
1/2/2022 21:10,9,0
1/2/2022 21:20,16,0
1/2/2022 21:30,11,0
1/2/2022 21:40,15,0
1/2/2022 21:50,16,0
1/2/2022 22:00,13,0
1/2/2022 22:10,9,0
1/2/2022 22:20,16,0
1/2/2022 22:30,13,0
1/2/2022 22:40,10,0
1/2/2022 22:50,13,0
